date,state_col,trendline_a_little_concerned,trendline_extremely_concerned,trendline_moderately_concerned,trendline_not_concerned_at_all,trendline_unsure,ci_low_a_little_concerned,ci_low_extremely_concerned,ci_low_moderately_concerned,ci_low_not_concerned_at_all,ci_low_unsure,ci_high_a_little_concerned,ci_high_extremely_concerned,ci_high_moderately_concerned,ci_high_not_concerned_at_all,ci_high_unsure
2020-02-25,Oklahoma,0.373172370188888,0.12496048367976,0.215265154508812,0.279706393740615,0.00689559788192523,0.246038488895914,0.071040464711926,0.132142574883427,0.178485339445191,0.00369477594246424,0.509276456176401,0.199962459495772,0.320269896467241,0.400488026554967,0.0115486445902158
2020-02-26,Oklahoma,0.369902394689006,0.125414921362523,0.215146605548091,0.282630601438394,0.0069054769619853,0.244517110566664,0.0717320003161306,0.132409310045049,0.1828617719118,0.00369477594246424,0.50460365130799,0.200337864538054,0.318689243657631,0.403145499091125,0.0115585236702758
2020-02-27,Oklahoma,0.366629784039043,0.125861966766118,0.215032305230088,0.285560451285294,0.00691549267945704,0.243000533480864,0.0724348461796843,0.132678666693011,0.187251783209184,0.00369484894588133,0.499940724348462,0.200717235383612,0.317114856454131,0.405801110430539,0.011568631325206
2020-02-28,Oklahoma,0.37040622777207,0.127015332332253,0.215442977949893,0.280220105903738,0.00691535604204536,0.247787086066546,0.0737078163281435,0.134671619378804,0.180648857978345,0.0037046550225243,0.503763929502885,0.200001975816012,0.316535604204537,0.397227930135146,0.0115190073500356
2020-02-29,Oklahoma,0.37418373294607,0.128172450925185,0.215850152633295,0.274888118313032,0.00690554518241902,0.252590814340614,0.074973079240884,0.136668543710422,0.174051351965462,0.00372444997678393,0.507602027207255,0.199292650879741,0.315975618189542,0.388656728213943,0.0114598460824121
2020-03-01,Oklahoma,0.380457010758424,0.126008911018247,0.218754630864527,0.267903539709354,0.00687590764944726,0.257974966163816,0.073995040652816,0.139197613190678,0.167580490599962,0.00377384586507019,0.514468055679045,0.195706509390158,0.317911937010363,0.380259427205279,0.0113215375952106
2020-03-02,Oklahoma,0.386716588951237,0.123854026713033,0.221656919307674,0.260916383466372,0.00685608156168498,0.263366395321268,0.073016280723939,0.14173516162175,0.161108037619537,0.00381332490318502,0.52132893384968,0.19211846992808,0.319845096024658,0.371848573460839,0.0111831186279934
2020-03-03,Oklahoma,0.384369165110696,0.125090147496122,0.220947808304437,0.262766367327584,0.006826511761161,0.262914554992442,0.0747557373324245,0.142546654416486,0.161949359335329,0.0038133625756992,0.519289094375784,0.192555051717495,0.31655848967132,0.373877478438695,0.0111931082856663
2020-03-04,Oklahoma,0.382021694888463,0.126316413427911,0.220238683290194,0.264616387741795,0.006806820651637,0.262462705735907,0.0764952283100512,0.143368042520401,0.162800576949675,0.00381340024895774,0.517259093872873,0.193001521408389,0.31328169765466,0.375896544229515,0.0112030981407204
2020-03-05,Oklahoma,0.369724571247925,0.130650833794357,0.220431913380226,0.272415632656287,0.00677704892120446,0.253833083063305,0.0798328459653837,0.143414605231961,0.171392159962064,0.00379356674306489,0.501284280407808,0.197522326720936,0.314194262230301,0.381905476961985,0.0111436023077531
2020-03-06,Oklahoma,0.357425116573145,0.134987749940725,0.220629494981427,0.280210226823678,0.00674741168102426,0.245198767090809,0.0831818541057457,0.143464000632261,0.179977080534261,0.00377380858294476,0.485319687030744,0.202046945388445,0.315122895755947,0.387921836718565,0.0110942069074528
2020-03-07,Oklahoma,0.343745986584077,0.139968189047944,0.230510852276656,0.278987977040791,0.00678699505053199,0.233938926923723,0.087450480621993,0.151220572399553,0.178556256977169,0.00380348339804195,0.468934925856772,0.208193789948925,0.32827519437282,0.386414154885747,0.0111338332197228
2020-03-08,Oklahoma,0.330069943886825,0.144945862641271,0.240397534181617,0.277750335888722,0.00683632340156485,0.222684343633921,0.0917272583577017,0.158984035406623,0.177131905476962,0.00383308306330515,0.452540899391449,0.214336520983166,0.3414308859559,0.384908717300245,0.0111732395479333
2020-03-09,Oklahoma,0.319795700624358,0.154419900418873,0.247846360546906,0.271101715008298,0.00683632340156485,0.215492373350194,0.0985833399193867,0.163291314312811,0.172439342448431,0.00386272030348534,0.440221686556548,0.227446060222872,0.349205721963171,0.378378645380542,0.011123844147633
2020-03-10,Oklahoma,0.309514636001699,0.163895557333808,0.255297709018701,0.264445827529316,0.0068462701164755,0.208302460903154,0.105450342313506,0.167600248955277,0.167748436620136,0.00390227517461447,0.427906701046205,0.240548096776424,0.356974205467137,0.371852247018958,0.0110745581537793
2020-03-11,Oklahoma,0.302115131936418,0.178773598885629,0.260928840283335,0.251306521245172,0.00687590764944726,0.202078578979086,0.116337196091797,0.170534364719481,0.158382976201061,0.00392203352992897,0.417928731612381,0.259585272121949,0.364482380486648,0.355778824970609,0.0111140748644083
2020-03-12,Oklahoma,0.294715627871136,0.19365164043745,0.266559971547968,0.238167214961027,0.00690554518241902,0.195854697055017,0.127233929047746,0.173468480483684,0.149027394959644,0.00395167106290072,0.407940883000899,0.27863232664513,0.37199055550616,0.339705402922261,0.0111535915750373
2020-03-13,Oklahoma,0.295150311688055,0.21104887229187,0.267557768491351,0.219367139879276,0.00687590764944726,0.196328897582565,0.139968189047944,0.173745097458088,0.135374371437322,0.00394179188524347,0.406577556484198,0.301463106211039,0.375863193147802,0.31756616579236,0.0111634707526946
2020-03-14,Oklahoma,0.295584995504974,0.228446104146291,0.268565444612391,0.200557185619869,0.0068462701164755,0.196812977287771,0.152702449048141,0.174011835254833,0.121721347915,0.00393191270758622,0.40520435078984,0.324303764954605,0.379745709967102,0.295436807840115,0.0111733499303518
2020-03-15,Oklahoma,0.294046748730513,0.243247515362273,0.27335954634368,0.182549248187153,0.00679694137638063,0.19474027385351,0.162859852601213,0.176611803758076,0.110262591136314,0.00389243445100868,0.405455335796566,0.344095157179269,0.38684278121357,0.272312343166505,0.011193218865464
2020-03-16,Oklahoma,0.292502692075912,0.258044120407417,0.278158126117582,0.164547583059186,0.00674747833990299,0.192663722671725,0.173014038311451,0.179208282702548,0.0988016557501754,0.00385287928632821,0.405688430495045,0.363869871471899,0.393942088260573,0.249182498048862,0.0112029874633236
2020-03-17,Oklahoma,0.284260649648305,0.27594246423773,0.275023709792144,0.158124555441397,0.00664862088042361,0.186655338654864,0.185598277088438,0.175778471508733,0.0941081166521773,0.00379356674306489,0.396901920493164,0.38562989014463,0.392920651228957,0.241049553465581,0.010975657946732
2020-03-18,Oklahoma,0.276024223743616,0.293836381059641,0.271894727482884,0.151694772927102,0.00654989478675795,0.180660521818164,0.198176303804471,0.172352133408415,0.0894164369757861,0.00374420833209844,0.388113373442795,0.40739752822975,0.391906977663179,0.232921371625026,0.01074854529109
2020-03-19,Oklahoma,0.270188298986386,0.309221315524293,0.271383691292407,0.142785165280275,0.00642152891663867,0.175821461737567,0.210072909051392,0.172976230463733,0.0832328940348936,0.00369484894588133,0.379670427377448,0.425579419493786,0.39081424986663,0.221315524293138,0.0105115488727747
2020-03-20,Oklahoma,0.264356914930401,0.324600140284323,0.270877172184187,0.133872736433419,0.00629303616766941,0.170978927714057,0.221975242780791,0.173596909793229,0.0770477065489069,0.00363553737786867,0.371219979648894,0.443762781186094,0.38971380022327,0.209695424952827,0.0102743447635419
2020-03-21,Oklahoma,0.264522247688295,0.326859242867304,0.2774342053268,0.12501975816012,0.00616454595748044,0.170522800916779,0.223889591401249,0.176924444795701,0.0711293764324666,0.00354658974156326,0.372648778945705,0.446544297794989,0.397741642298269,0.198905397929345,0.00994823362048526
2020-03-22,Oklahoma,0.264680312969256,0.329121552201059,0.283993914486683,0.116177981506362,0.00602623883663953,0.170068363234016,0.225816012012961,0.180253694775942,0.0652019283964277,0.00345767802102268,0.374091124634474,0.449330198371928,0.405773334387102,0.188127321583814,0.00963210305856319
2020-03-23,Oklahoma,0.258666508599824,0.329944775396896,0.289390751113877,0.116030941584422,0.00596702330498009,0.166306076682177,0.224978512788596,0.184019442221629,0.0647777678986001,0.00345771218003813,0.36900704385367,0.45179455262144,0.413828872884621,0.187595704533555,0.0095531647945625
2020-03-24,Oklahoma,0.252642706131078,0.33076801485843,0.294797573649997,0.115883898757187,0.00590780660330758,0.162533836517753,0.224150876291715,0.187785264073028,0.0643437197447195,0.00345774633972852,0.363922862618798,0.454249076287764,0.421874691272648,0.187054197704056,0.00947422497085614
2020-03-25,Oklahoma,0.24885894370789,0.328663729228824,0.300260812866768,0.11633834541898,0.00587816877753848,0.159145245104819,0.222323210369287,0.191549267945704,0.0643042026436941,0.00344786706447215,0.359931635415226,0.451334690087135,0.429066803659284,0.188111280156488,0.0094248285945743
2020-03-26,Oklahoma,0.245070339050028,0.326552991385442,0.305727890618826,0.116800363550146,0.00584841539555837,0.155743697146922,0.220491187860586,0.195309412787481,0.0642535367106615,0.00343791986090255,0.355943254564135,0.448401564846282,0.436240417292342,0.189164624990121,0.00938512605706157
2020-03-27,Oklahoma,0.251355917133458,0.332226865435721,0.300356638313427,0.110320776898531,0.0057398022188633,0.159904369560278,0.225640417691631,0.190105015658497,0.0607767009474131,0.00335892040346562,0.364492259664305,0.456981120891497,0.429803503156397,0.17891190737283,0.00916787686592968
2020-03-28,Oklahoma,0.2576416194108,0.337900851593527,0.294985279879868,0.103841062219676,0.0056311868961293,0.16406512418249,0.230789749263994,0.184900515698168,0.0573096757621861,0.00327004010985754,0.373041433680425,0.465560846456304,0.423376341111616,0.168658987176701,0.00895062338226868
2020-03-29,Oklahoma,0.2512768837122,0.34531677583158,0.294962607312567,0.102852118589649,0.00559161455400453,0.157059166394989,0.234017960344981,0.18358475840471,0.0560149373166178,0.00325024944923584,0.36433419282179,0.475020499293639,0.42630627426573,0.168845025340091,0.00886162235855487
2020-03-30,Oklahoma,0.244912273769067,0.352732553544614,0.294939935193235,0.101873073579388,0.00554216391369636,0.150053347032324,0.237255986722516,0.182259148028136,0.054720224452699,0.00323045917964119,0.355627124002213,0.484479965225638,0.429236149529756,0.169031059827709,0.00877262309333755
2020-03-31,Oklahoma,0.234460207065518,0.361890460760294,0.296431676282305,0.101744645538607,0.0054730103532759,0.143167628230459,0.243104402118075,0.183987987038647,0.0552042993756421,0.003200821939461,0.344404489053979,0.493776179562159,0.432446850549277,0.168043151821702,0.00871334861297716
2020-04-01,Oklahoma,0.224020232555842,0.371042154451063,0.297926360609743,0.101617221382492,0.00539403100085949,0.136293134959446,0.248965156140403,0.18570878160102,0.0556790452762712,0.00317121602797783,0.333195024846132,0.503087243017891,0.43565197632949,0.167056894184128,0.00866403880540984
2020-04-02,Oklahoma,0.22406741484233,0.374436892436576,0.291719355093654,0.104402118074765,0.00537421955267525,0.135412550383308,0.250642140203904,0.180273452936063,0.0575456413498775,0.00316130561922074,0.333280644906346,0.507705682446851,0.429354698490477,0.171066150320082,0.00863431597249664
2020-04-03,Oklahoma,0.22410693116257,0.377825416897179,0.285525171895993,0.107197897731763,0.00534458231249506,0.134523433177902,0.252311704734055,0.174849837983087,0.0594029084011697,0.00314154745910061,0.333359677546827,0.512338970995021,0.423051845412155,0.175077056824469,0.00860467873231645
2020-04-04,Oklahoma,0.232859796095788,0.36426143997471,0.290277009404884,0.107306567612424,0.00529518691219474,0.141537580020549,0.244250375405042,0.180036355014621,0.0590176242788271,0.00310203113886035,0.343703074369715,0.494596143207145,0.427151663637082,0.174889354303327,0.00852564609183593
2020-04-05,Oklahoma,0.241617434944972,0.350704392325779,0.295024796980894,0.107407480587224,0.00524589516113098,0.148544782754737,0.23618383355397,0.185236411056885,0.0586334986465393,0.0030724546047302,0.354053466637687,0.476852858074332,0.431269882041454,0.174695224358341,0.00845665961945032
2020-04-06,Oklahoma,0.243630400205487,0.345000642146548,0.294725507048793,0.111476640684429,0.0051668099147427,0.150667338450747,0.23136046155518,0.182982128567618,0.0608656135463284,0.00302302836311905,0.355650395661065,0.471187378362625,0.429694832202167,0.180966776325539,0.00829850923209152
2020-04-07,Oklahoma,0.245650777969869,0.339293652753766,0.294423314398617,0.115544578908372,0.00508767596937515,0.152788342800692,0.226544825882934,0.180735984193628,0.0630871820202519,0.00298345270437145,0.357243763892319,0.465517411706594,0.428125463077303,0.187246233637935,0.00813040256853544
2020-04-08,Oklahoma,0.248224217816109,0.335783369392332,0.291208519802812,0.119745512383549,0.00503838060519842,0.154559734447705,0.223753494759096,0.178536498621855,0.065558222933523,0.00295387411951829,0.361291406103356,0.459115023265463,0.427946217756834,0.192041334479318,0.00803177143534572
2020-04-09,Oklahoma,0.250802683184652,0.332256502968693,0.287997787064205,0.123944162887881,0.00499886389456942,0.156328107248353,0.220957687482094,0.176333442004287,0.068028017347836,0.00291435740888928,0.365322110587515,0.452713316143564,0.427758513381346,0.196842614820742,0.00792310048111595
2020-04-10,Oklahoma,0.249202256404177,0.326477184039201,0.288165733084378,0.131195479288304,0.00495934718394041,0.15396698378827,0.216097132074726,0.175582624502336,0.0727305059126878,0.00290447823123203,0.365322110587515,0.446835205437499,0.427985734467463,0.20806536063938,0.00787370459282969
2020-04-11,Oklahoma,0.247609262625464,0.320694696909824,0.288330830633051,0.138445427961748,0.00491978186991227,0.151604362601754,0.211234489844306,0.174820200742907,0.077442108590848,0.00289457045759899,0.365308622461076,0.440952738480993,0.428218604283569,0.219285940093258,0.00782423140757133
2020-04-12,Oklahoma,0.2499506045997,0.308108748913301,0.291008061329329,0.146032561447878,0.00490002370979214,0.154400142258753,0.202560657551569,0.17688492847546,0.0825792302220817,0.00288469137753892,0.367659843515372,0.426124239310835,0.428791590927053,0.231219868805817,0.00786374772781159
2020-04-13,Oklahoma,0.252287052221849,0.295528640018968,0.293681215546028,0.15362273023651,0.00488036197664539,0.157199027879315,0.193900535456719,0.178943312718579,0.0877180850012843,0.00287486909960285,0.370018375451977,0.411313746023592,0.429363181916975,0.243158601884966,0.00789354092983739
