date,state_col,trendline_completely_satisfied,trendline_mostly_satisfied,trendline_not_satisfied_at_all,trendline_not_very_satisfied,trendline_unsure,ci_low_completely_satisfied,ci_low_mostly_satisfied,ci_low_not_satisfied_at_all,ci_low_not_very_satisfied,ci_low_unsure,ci_high_completely_satisfied,ci_high_mostly_satisfied,ci_high_not_satisfied_at_all,ci_high_not_very_satisfied,ci_high_unsure
2020-03-24,Alabama,0.175638434686754,0.404495070120644,0.131606344540388,0.259354522628452,0.0289056280237614,0.100251087023088,0.273501132953641,0.0732439218568192,0.166391083348643,0.016412517606712,0.276440688345888,0.539959581113357,0.214648784371364,0.373078571866005,0.045134423418458
2020-03-25,Alabama,0.178260869565217,0.396387017758726,0.134537660747091,0.261849357011635,0.0289650949173301,0.103612982241274,0.269810165339865,0.0756276791181874,0.170300061236987,0.0165952235150031,0.276056338028169,0.528597672994489,0.216656460502143,0.373484384568279,0.0453766074709124
2020-03-26,Alabama,0.180955296999388,0.388242498469075,0.137415799142682,0.264360073484385,0.0290263319044703,0.106981016533987,0.266197183098592,0.0780159216166565,0.174219228413962,0.0167789344764238,0.275750153092468,0.517207593386405,0.218677281077771,0.373913043478261,0.0456215554194734
2020-03-27,Alabama,0.181517545471247,0.401371792516382,0.136995529426174,0.251576948986466,0.0285381835997305,0.10698756813032,0.278951558576765,0.0781431808438974,0.165411231551228,0.0166574805560659,0.275522077285811,0.529487415028477,0.216669728703534,0.357094739420663,0.0447057382570886
2020-03-28,Alabama,0.182118799755052,0.414451928965095,0.136558481322719,0.238824249846908,0.0280465401102266,0.106981016533987,0.291671769748928,0.0782608695652174,0.156582976117575,0.0165339865278628,0.275260257195346,0.541702388242498,0.214574402939375,0.340232700551133,0.0437844458052664
2020-03-29,Alabama,0.183354767591402,0.41472227325617,0.136444362790128,0.237981505297324,0.0274970910649764,0.108763549513136,0.295609039132831,0.0784493845305897,0.156408843162472,0.0161675546573581,0.276440688345888,0.539102210790618,0.21281156225121,0.338600036744442,0.0429909976116112
2020-03-30,Alabama,0.18464082307551,0.415028476942862,0.136321881315451,0.237124134974585,0.0268846836915917,0.110478290158614,0.299589687059832,0.0786331067426052,0.156163880213118,0.0158001102333272,0.277604262355319,0.536468859085063,0.210974340131055,0.336946536836303,0.042194868026211
2020-03-31,Alabama,0.1787223617321,0.418631714338213,0.139094751025908,0.237214430085135,0.026336742818644,0.10620444662216,0.302443804740614,0.0804189379555338,0.155754272064678,0.0155570527347339,0.269920989771544,0.540086972499541,0.213878850983034,0.338764010534697,0.0413425614013597
2020-04-01,Alabama,0.172831945124939,0.422219500244978,0.141842234198922,0.237322390984811,0.0257839294463498,0.101910828025478,0.305181283684468,0.0821901028907398,0.15531602155806,0.015249877511024,0.26218765311122,0.543544830965213,0.216805487506124,0.340519353258207,0.040421362077413
2020-04-02,Alabama,0.174914257716805,0.41750367466928,0.147415482606565,0.23468887800098,0.0254777070063694,0.103319451249388,0.302119059284664,0.0860485056344929,0.15390739833415,0.0151886330230279,0.263963743263106,0.539563939245468,0.22531847133758,0.336783439490446,0.0397476727094562
