record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3elZXCYv5dnH1SJNA,7639408,new_entry,original,,,"As part of the declaration of state of emergency, on March 16th, the president of Peru announced that interprovincial travel is suspended during the emergency, in all means (land, air, fluvial). Initially, the measure will last 15 days. Transport is, however, guaranteed for essential workers identified with their credentials and for transportation of goods.",2020-03-16,2020-03-17,2020-03-31,Peru,PER,PE,National,1,,,,Internal Border Restrictions,,,,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Police,Other (Please specify in the text box)",54.6831253322805,53.0696939191493,51.8499635330527,163,https://andina.pe/agencia/noticia-estado-emergencia-transporte-interprovincial-queda-suspendido-durante-15-dias-788435.aspx,2020-08-25,2020-08-25T15:43:45Z
R_wSJNXQgAFUxU1wtNA,8011603,new_entry,correction,,,"On March 15th 2020, the Peruvian government announced an ""obligatory social isolation"" (Lockdown) for all citizens/residents. They can only leave their homes for eight main reasons, related to the production and purchase of groceries; pharmaceutical products and first necessity goods; health-related visits to health centres; return to main residence; assistance and care of elderly, children, adolescents and handicapped or vulnerable people; media (journalists) and call centers; fuel (distribution and purchase); and providing and using financial services (e.g. banks).",2020-03-15,2020-03-16,2020-03-30,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",54.2012135935888,53.1642952301882,52.2012665552632,174,NA,2020-09-23,2020-09-23T17:26:13Z
R_sYklZ5RvXct8LPbNA,8939344,new_entry,original,,,"On 26th June 2020, the Government of Peru announced the end of the nationwide lockdown and the start of a targeted lockdown per region, where different measures will be enforced. The measure begins 1st July, 2020 initial list of regions includes Arequipa, Ica, Junín, Huánuco, San Martín, Madre de Dios and Áncash, and will be reviewed constantly. Also, those aged 14 or less and 65 or over must remain locked down, regardless of their region of residence.",2020-06-26,2020-07-01,2020-07-31,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,One or more provinces within a country,,"Arequipa; Ica; Junín, Huánuco; San Martín; Madre de Dios; Áncash,",,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://gestion.pe/peru/cuarentena-focalizada-coronavirus-peru-manana-comienza-la-cuarentena-focalizada-asi-sera-la-nueva-convivencia-covid-19-nndc-noticia/?ref=gesr,2020-09-08,2020-09-08T16:13:32Z
R_DcQxTDtSdIlHudrNA,8939344,update,original,End of Policy,,"On 26th June 2020, the Government of Peru announced the end of the nationwide lockdown and the start of a targeted lockdown per region, where different measures will be enforced. The measure begins 1st July, 2020 initial list of regions includes Arequipa, Ica, Junín, Huánuco, San Martín, Madre de Dios and Áncash, and will be reviewed constantly. Also, those aged 14 or less and 65 or over must remain locked down, regardless of their region of residence. UPDATE: The targeted lockdown was extended on 31st July, 2020, for an additional month, but the provinces listed changed.",2020-06-26,2020-07-01,2020-07-31,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,One or more provinces within a country,,"Arequipa; Ica; Junín, Huánuco; San Martín; Madre de Dios; Áncash,",,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,NA,2020-09-08,2020-09-08T16:18:37Z
R_239OU2XsBVXYAelNA,5102065,update,original,End of Policy,,"On 31st July, 2020, the Government of Peru announced the extension of the targeted lockdown per region until the end of August. The conditions remain the same from the previous targeted lockdown; however, the list of regions was changed, and for the first time, provinces within regions were included. The regions listed where all their provinces are included are: Arequipa, Ica, Junín, Huánuco and San Martín. The regions where some provinces are included are: Madre de Dios (Tambopata); Áncash (Santa, Casma, Huaraz); Moquegua (Mariscal Nieto, Ilo); Tacna (Tacna); Cusco (Cusco, La Convención), Puno (San Román, Puno); Huancavelica (Huancavelica); Cajamarca (Cajamarca, Jaén, San Ignacio); Amazonas (Bagua, Condorcanqui, Utcubamba); Apurímac (Abancay, Andahuaylas). UPDATE: The government extended the targeted lockdown on August 28th, 2020, but changed the regions and provinces included.",2020-07-31,2020-08-01,2020-08-31,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,One or more provinces within a country,,"Arequipa (all provinces); Ica (all); Junín (all); Huánuco (all); San Martín (all); Madre de Dios (Tambopata); Áncash (Santa, Casma, Huaraz); Moquegua (Mariscal Nieto, Ilo); Tacna (Tacna); Cusco (Cusco, La Convención), Puno (San Román, Puno); Huancavelica (Huancavelica); Cajamarca (Cajamarca, Jaén, San Ignacio); Amazonas (Bagua, Condorcanqui, Utcubamba); Apurímac (Abancay, Andahuaylas).",,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,NA,2020-09-08,2020-09-08T16:40:16Z
R_5vCnbRdJdPqlQSRNA,6792535,new_entry,original,,,"On August 12th, 2020, Peru resumed the total lockdown of its inhabitants only on Sundays. The policy is nationwide and is expected to last three Sundays.",2020-08-12,2020-08-13,2020-09-27,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police,Other (Please specify in the text box)",,,,,https://elcomercio.pe/lima/sucesos/coronavirus-peru-martin-vizcarra-anuncia-retorno-a-inmovilizacion-obligatoria-los-domingos-en-lima-y-callao-estado-de-emergencia-covid-19-nndc-noticia/ ; https://elcomercio.pe/lima/sucesos/coronavirus-en-peru-detendran-por-un-dia-y-multaran-a-personas-que-no-acaten-toque-de-queda-e-inmovilizacion-total-covid-19-nndc-noticia/ ; https://busquedas.elperuano.pe/download/url/decreto-supremo-que-modifica-el-decreto-supremo-n-116-2020-decreto-supremo-n-139-2020-pcm-1877093-1,2020-08-13,2020-08-13T10:42:28Z
R_RPFWfatwcCgFaylNA,6792535,update,original,Change of Policy,Strengthening,"On August 12th, 2020, Peru resumed the total lockdown of its inhabitants only on Sundays. The policy is nationwide and is expected to last three Sundays. UPDATE: The measure has been extended until the end of September.",2020-08-12,2020-08-13,2020-09-27,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police,Other (Please specify in the text box)",,,,,NA,2020-09-01,2020-09-01T14:40:31Z
R_2YAq8EbNAvHJwrVNA,6792535,update,original,End of Policy,Strengthening,"On August 12th, 2020, Peru resumed the total lockdown of its inhabitants only on Sundays. The policy is nationwide and is expected to last three Sundays. UPDATE: The measure was partially lifted on September 16th, 2020 on the provinces and regions that do not have targeted lockdown.",2020-08-12,2020-08-13,2020-09-27,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police,Other (Please specify in the text box)",,,,,NA,2020-09-23,2020-09-23T10:37:39Z
R_rjUJH6Xw9lFnA9XNA,9117982,new_entry,correction,,,"On 28th August, 2020, the Peruvian Government announced an extension of the targeted lockdown until the end of September. The measure includes 46 provinces from the following regions: Amazonas (3); Áncash (4); Apurímac (1); Arequipa (4); Ayacucho (4); Cajamarca (2); Huancavelica (3); Huánuco (4); Ica (4); Junín (3); La Libertad (6); Lima (4, does not include the Metropolitan Region); Madre de Dios (1); Pasco (2).",2020-08-28,2020-09-01,2020-09-30,Peru,PER,PE,National,1,,,,Lockdown,,,,Peru,One or more other geographical or administrative unit within a country (e.g. county),,Amazonas,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://elperuano.pe/noticia-cuarentena-focalizada-estas-son-46-provincias-donde-regira-del-1-al-30-setiembre-101838.aspx,2020-09-23,2020-09-23T14:27:34Z
R_aWx10jBLuJYUifDNA,2581974,new_entry,original,,,"Peru is readying an economic stimulus package worth around 90 billion soles ($ 26.41 billion), divided into three phases: 1) containment of the disease, 2) ensuring of payment chains by granting credit guarantees and 3) reactivation of production.",2020-03-30,2020-03-30,,Peru,PER,PE,National,1,,,,Other Policy Not Listed Above,,The policy concerns a an economic stimulus package designed by the government to respond to the Corona-related economic crisis. This investment equals 12 % of the country´s GDP. GDP,,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,56.4216802415379,53.4662760749471,50.6570042855417,148,https://www.nytimes.com/reuters/2020/03/30/world/americas/30reuters-health-coronavirus-peru.htmlhttps://www.nytimes.com/reuters/2020/03/30/world/americas/30reuters-health-coronavirus-peru.html,2020-04-03,2020-04-03T13:27:51Z
