record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3QL6MGnTkWWszpSBl,395651,new_entry,original,,,"On June 1st Malta announced it will reopen its borders from July 1st to sixteen countries including: 
Iceland
Slovakia
Cyprus
Lithuania
Israel
Norway
Switzerland
Estonia
Denmark
Hungary
Austria
Luxembourg
Germany
Czech Republic
Finland
Ireland",2020-06-01,2020-07-01,,Malta,MLT,MT,National,0,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"","Austria,Cyprus,Czechia,Denmark,Estonia,Finland,Germany,Hungary,Iceland,Ireland,Israel,Lithuania,Luxembourg,Norway,Slovakia,Switzerland",One or more countries and one or more regional groupings,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://timesofmalta.com/articles/view/revealed-list-of-first-countries-malta-will-open-flights-to-on-july-1.795715,2020-08-31,2020-08-31T10:29:16Z
R_2UaADINR6TVBxZ6Fi,145889,update,original,End of Policy,Strengthening,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020.

On the 1st June, the Maltese authorities announced it would recommence flights on the 1st July to certain countries.",2020-06-01,2020-07-01,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-09-02,2020-09-02T11:38:19Z
R_1ml9PHuEjOKphcZFi,145889,update,original,End of Policy,Strengthening,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020. 

On June 1st 2020, Maltese Government announced it would reopen borders as of July 1st for air travel to:
Iceland
Slovakia
Cyprus
Lithuania
Israel
Norway
Switzerland
Estonia
Denmark
Hungary
Austria
Luxembourg
Germany
Czech Republic
Finland
Ireland",2020-06-01,2020-07-01,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-08-31,2020-08-31T10:16:57Z
R_3PFbg5X0cX6jIgGBl,395651,update,original,Change of Policy,Relaxing,"On June 1st Malta announced it will reopen its borders from July 1st to sixteen countries including: 
Iceland
Slovakia
Cyprus
Lithuania
Israel
Norway
Switzerland
Estonia
Denmark
Hungary
Austria
Luxembourg
Germany
Czech Republic
Finland
Ireland

On June 15th, six countries were added to this list: 
Italy (except for Emilia Romagna, Lombardy and Piemonte)
France (except for Ile de Frace)
Spain (except for Madrid, Catalonia, Castilla -La Mancha, Castile and Leon)
Poland (except for Katowice Airport)
Greece
Croatia

Israel was originally included on the list but is now removed.",2020-06-15,2020-07-01,,Malta,MLT,MT,National,0,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"","Austria,Cyprus,Czechia,Denmark,Estonia,Finland,Germany,Hungary,Iceland,Ireland,Israel,Lithuania,Luxembourg,Norway,Slovakia,Switzerland",One or more countries and one or more regional groupings,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,NA,2020-08-31,2020-08-31T10:40:14Z
R_3F2PzGfZ6aec2MlNA,9616619,new_entry,original,,,"23 Feb 2020
The Maltese health authorities are implementing all the necessary preparedness and response actions required for the outbreak of COVID-19. Screening is being enhanced by introducing thermal screening at points of entry. During this coming week, thermal screening cameras will be installed at the Malta International Airport, whereby ALL inbound passengers will be screened. This will also be implemented in cruise liner and catamaran terminals.",2020-02-23,2020-02-23,,Malta,MLT,MT,National,0,,,Health Monitoring,,,"",All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,"Flights,Cruises,Ferries",Mandatory (Unspecified/Implied),Ministry/Department of Health,49.8816928714803,47.889168884221,45.0035453058285,44,https://covid19malta.info/,2020-04-25,2020-04-25T07:55:53Z
R_0p6MOXjuY1MtVvjNA,3393338,new_entry,original,,,"February 24, the health authorities announced that all passengers arriving in Malta were screened by thermal cameras. Two thermal scanning devices were installed in Malta International Airport. Passengers disembarking from vessels at the Grand Harbour and catamaran terminal in Marsa were also scanned. At Mater Dei Hospital, all patients with respiratory symptoms were checked for COVID-19.",2020-02-24,2020-02-24,,Malta,MLT,MT,National,0,,,Health Monitoring,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",49.9370775637786,48.1714214002596,45.5417614470467,56,https://timesofmalta.com/articles/view/coronavirus-thermal-screening-kicks-off-in-malta-as-italy-death-toll.773360,2020-03-31,2020-03-31T10:10:33Z
R_2QEd6T4JXy6XFwONA,3000156,new_entry,correction,,,"On the 25th February 2020, the Maltese Health Authorities expanded surveillance on people returning from China, Hong Kong, Singapore, Japan, Iran, South Korea, Northern part of Italy – Lombardy, Piedmont, Veneto and Emilia-Romagna.
",2020-02-25,2020-02-25,,Malta,MLT,MT,National,0,,,Health Monitoring,,,"","China,Hong Kong,Iran,Japan,Malta,Singapore,South Korea",One or more countries and one or more regional groupings,Other Regions (please specify below),"Northern part of Italy – Lombardy, Piedmont, Veneto and Emilia-Romagna",,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",50.0654953492487,48.421797577471,46.0573878911743,66,https://covid19malta.info/,2020-10-16,2020-10-16T01:35:19Z
R_3NP4Hz1PZEAYWwBFc,2704875,new_entry,correction,,,"On the 25th February 2020, the Ministry for Health announced that Malta is still in a pre-containment phase. A public health strategy is aimed at training first responders. The Department also has additional contingency plans in the event that the situation aggravates beyond the current situation in Europe and locally.

",2020-02-25,2020-02-25,,Malta,MLT,MT,National,0,,,Health Resources,Unspecified Health Staff,,"",Malta,"One or more countries, but not all countries",,,,,Health Staff,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,50.0654953492487,48.421797577471,46.0573878911743,66,https://covid19malta.info/,2020-10-16,2020-10-16T01:30:52Z
R_5tGxcnAirGCevzbCf,1534745,new_entry,original,,,"From the 12th of March 2020, The Law Enforcement Agency will deliver a two-month medicine stock to elderly people enrolled in the Pharmacy of Your Choice scheme in Malta.",2020-03-12,2020-03-12,,Malta,MLT,MT,National,0,,,Health Resources,Medicine/Drugs,,"",Malta,,,,,,,,,Mandatory (Unspecified/Implied),Police,54.0967277898015,50.8031550835249,46.4691350834455,112,https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/April/17/pr200689.aspx ; https://www.maltatoday.com.mt/news/national/100964/coronavirus_elderly_enrolled_within_the_poyc_scheme_to_receive_twomonth_medicine_stock#.X21fwpMzai4,2020-09-25,2020-09-25T04:47:53Z
R_1mguEqChCuoBZvoNA,9427432,new_entry,correction,,,"On the 2nd March 2020, Maltese health authorities began performing laboratory testing for the COVID-19 virus for patients suffering from acute respiratory tract infection with sudden onset of cough, fever or shortness of breath and who have been in countries and regions where local transmission of COVID-19 has been reported:

Western Pacific Region: China (incl. Hong Kong), South Korea, Japan, Singapore, Australia, Malaysia, Vietnam.

European Region: Italy, France, Germany, Spain, United Kingdom, Norway, Croatia, Netherlands, San Marino.

South-East Asian Region: Thailand.

Eastern Mediterranean Region: Iran, United Arab Emirates.

Region of the Americas: Canada, United States of America.",2020-03-02,2020-03-02,,Malta,MLT,MT,National,0,,,Health Testing,,,"","Australia,Canada,China,Croatia,France,Germany,Iran,Italy,Japan,Malaysia,Netherlands,Norway,San Marino,Singapore,South Korea,Spain,Thailand,United Arab Emirates,United Kingdom,United States,Vietnam","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.7815952214625,49.2585285112791,45.3786218466443,89,https://covid19malta.info/,2020-10-16,2020-10-16T01:57:32Z
