date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-05-28,JohnsonCity,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,https://www.johnsoncitypress.com/law-enforcement/2020/05/29/Black-Lives-Matter-protestors-march-in-Johnson-City-for-second-straight-day.html,1,0,0
2020-05-28,Memphis,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest,1,0,0
2020-05-28,Portland,Oregon,100,100,100,0,0,0,0,"https://en.wikipedia.org/wiki/George_Floyd_protests_in_Portland,_Oregon",https://www.kptv.com/news/naacp-hosts-rally-in-downtown-portland-to-honor-victims-of-police-brutality/article_208d325c-a1e0-11ea-add0-2ff515c4131e.html,1,1,0
2020-05-28,Columbus,Ohio,400,300,350,1,0,1,1,"https://en.wikipedia.org/wiki/George_Floyd_protests_in_Columbus,_Ohio",https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent,1,1,0
2020-05-28,NewYork,NewYork,200,200,200,NA,NA,NA,NA,NA,https://www.nydailynews.com/new-york/nyc-crime/ny-protest-union-square-george-floyd-20200528-t5wka5sycjhu5kqxusu7zzy6ju-story.html,1,0,0
2020-05-28,NewYorkCity,NewYork,100,100,100,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_New_York_City,NA,0,1,0
2020-05-28,Albuquerque,NewMexico,400,100,250,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_New_Mexico,https://www.abqjournal.com/1460985/local-leaders-defend-apd-response-to-protest-ex-mayor-we-stand-with-those-grieving-around-the-nation.html?utm_source=abqjournal.com&utm_medium=sidebar+-+popular+posts+-+home&utm_campaign=popular+posts,1,1,1
2020-05-28,Albuquerque,NewMexico,400,100,250,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_New_Mexico,https://www.abqjournal.com/1460985/local-leaders-defend-apd-response-to-protest-ex-mayor-we-stand-with-those-grieving-around-the-nation.html?utm_source=abqjournal.com&utm_medium=sidebar+-+popular+posts+-+home&utm_campaign=popular+posts,1,1,1
2020-05-28,Carlsbad,NewMexico,NA,NA,NA,0,0,0,0,NA,https://www.currentargus.com/story/news/local/2020/06/01/george-floyd-carlsbad-sees-peaceful-protest-wake-death/5307637002/,1,0,1
2020-05-28,Willingboro,NewJersey,NA,NA,NA,NA,NA,NA,NA,NA,https://www.courierpostonline.com/story/news/2020/05/30/burlington-county-protesters-demand-justice-for-floyd/5294343002/,1,0,0
2020-05-28,LasVegas,Nevada,100,100,100,NA,NA,NA,NA,NA,https://www.ktnv.com/news/peaceful-demonstration-in-las-vegas-for-justice-after-george-floyds-death,1,0,0
2020-05-28,Omaha,Nebraska,40,40,40,NA,NA,NA,NA,NA,https://www.omaha.com/news/local/watch-now-omahans-rally-to-protest-death-of-george-floyd-black-minneapolis-man-at-hands/article_7a1b1c26-5c1e-5b06-88fa-c827fbaf33c5.html,1,0,0
2020-05-28,St.Louis,Missouri,15,15,15,NA,NA,NA,NA,NA,http://www.stlamerican.com/news/local_news/minneapolis-police-killing-of-george-floyd-protested-in-st-louis/article_0cc91eaa-a179-11ea-98c0-cbbb8de6e805.html,1,0,0
2020-05-28,Petal,Mississippi,200,200,200,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Mississippi,NA,0,1,0
2020-05-28,AppleValley,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,Blaine,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html,1,0,0
2020-05-28,Brainerd,Minnesota,60,60,60,NA,NA,NA,NA,NA,https://www.brainerddispatch.com/news/6511578-Over-60-gather-at-6th-and-Washington-in-Brainerd-to-protest-racial-injustice,1,0,0
2020-05-28,Duluth,Minnesota,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Minnesota,NA,0,1,0
