"","Date","Location","Attendees","Event (legacy; see tags)","Tags","Curated","Source","Total Articles","City","State Name","State Code","NAME","STNAME","SUMLEV","STATE","COUNTY","PLACE","COUSUB","CONCIT","PRIMGEO_FLAG","FUNCSTAT","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019"
"15",2020-05-27,"Olympia, WA",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.king5.com/article/news/local/seattle/seattle-protest-death-of-george-floyd/281-bba2f836-c4a2-48e1-b5df-189527e08a7d",1,"Olympia","Washington","WA","Olympia","Washington","162","53","000","51300","00000","00000",0,"A","46478",46884,47067,47696,48089,48473,49327,49849,50732,51660,52508,52882
"16",2020-05-27,"South Sacramento, CA",20,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://fox40.com/news/local-news/sacramento-protesters-join-countrywide-demonstrations-to-demand-justice-for-george-floyd/",3,"South Sacramento","California","CA","South Sacramento","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-27,"Duluth, MN",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.duluthnewstribune.com/news/6514070-Protesters-march-for-George-Floyd-in-Duluth",4,"Duluth","Minnesota","MN","Duluth","Minnesota","162","27","000","17000","00000","00000",0,"A","86265",86266,86191,86239,86162,86045,86095,85985,86084,85979,85856,85618
"18",2020-05-27,"Willingboro, NJ",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.courierpostonline.com/story/news/2020/05/30/burlington-county-protesters-demand-justice-for-floyd/5294343002/",2,"Willingboro","New Jersey","NJ","Willingboro","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-05-27,"Chadron, NE",20,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html",1,"Chadron","Nebraska","NE","Chadron","Nebraska","162","31","000","08605","00000","00000",0,"A","5851",5851,5842,5874,5841,5768,5754,5716,5684,5653,5490,5412
"20",2020-05-28,"Union Square Park, New York, NY",200,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.nydailynews.com/new-york/nyc-crime/ny-protest-union-square-george-floyd-20200528-t5wka5sycjhu5kqxusu7zzy6ju-story.html",48,"Union Square Park, New York","New York","NY","New York","New York","040","36","000","00000","00000","00000",0,"A","19378102",19378144,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
"21",2020-05-28,"Minnesota Square Park, St. Peter, MN",300,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mankatofreepress.com/news/hundreds-protest-in-st-peter-over-the-death-of-george-floyd/article_636411dc-a153-11ea-89b1-df137400cd26.html",3,"Minnesota Square Park, St. Peter","Minnesota","MN","St. Peter","Minnesota","162","27","000","58036","00000","00000",0,"A","11196",11188,11193,11425,11458,11390,11687,11727,11760,11918,11941,11953
"22",2020-05-28,"State Capitol, Denver, CO",1000,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://the-journal.com/articles/177539",82,"State Capitol, Denver","Colorado","CO","Denver","Colorado","162","08","000","20000","00000","00000",0,"A","600158",599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211
"23",2020-05-28,"Chicago, IL",20,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html",2,"Chicago","Illinois","IL","Chicago","Illinois","162","17","000","14000","00000","00000",0,"A","2695598",2695652,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976
"24",2020-05-28,"St. Paul, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mic.com/p/protests-over-george-floyds-death-are-escalating-in-minneapolis-beyond-22942046",25,"St. Paul","Minnesota","MN","St. Paul","Minnesota","162","27","000","58000","00000","00000",0,"A","285068",285112,285510,288872,291280,295054,297655,299915,302948,304913,306960,308096
"25",2020-05-28,"Pittsfield Charter Township, MI",300,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mlive.com/news/ann-arbor/2020/05/free-shateina-continued-incarceration-of-ypsilanti-woman-leads-300-protesters-to-block-streets-again.html",3,"Pittsfield Charter Township","Michigan","MI","Pittsfield Charter Township","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-05-28,"State Capitol, Lansing, MI",50,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.detroitnews.com/story/news/politics/2020/05/28/we-have-arm-ourselves-michigan-demonstrators-protest-brutality/5275209002/",1,"State Capitol, Lansing","Michigan","MI","Lansing","Michigan","162","26","000","46000","00000","00000",0,"A","114297",114265,114321,114559,114661,114734,115093,115324,116569,117730,117931,118210
"27",2020-05-28,"Phoenix, AZ",200,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.azcentral.com/story/news/local/phoenix/2020/05/29/8-arrested-phoenix-protest-police-chief-jeri-williams-condemns-george-floyd-death-minneapolis/5284290002/",37,"Phoenix","Arizona","AZ","Phoenix","Arizona","162","04","000","55000","00000","00000",0,"A","1445632",1446691,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
"28",2020-05-28,"Omaha, NE",40,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.omaha.com/news/local/watch-now-omahans-rally-to-protest-death-of-george-floyd-black-minneapolis-man-at-hands/article_7a1b1c26-5c1e-5b06-88fa-c827fbaf33c5.html",3,"Omaha","Nebraska","NE","Omaha","Nebraska","162","31","000","37000","00000","00000",0,"A","408958",458989,459659,462101,465261,468086,470423,472638,475044,476271,477299,478192
"29",2020-05-28,"Framingham, MA",30,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.metrowestdailynews.com/news/20200528/framingham-high-alums-hold-protest-over-george-floyds-death",2,"Framingham","Massachusetts","MA","Framingham","Massachusetts","162","25","000","24960","00000","00000",0,"A","A",68323,68665,69656,70061,70411,70786,70938,71459,71784,72909,74416
"30",2020-05-28,"Minneapolis, MN",1000,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.startribune.com/minneapolis-police-station-set-on-fire-protesters-march-downtown/570849592/",147,"Minneapolis","Minnesota","MN","Minneapolis","Minnesota","162","27","000","43000","00000","00000",0,"A","382578",382603,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606
"31",2020-05-28,"Kelly Ingram Park, Birmingham, AL",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.al.com/news/birmingham/2020/05/we-should-be-fed-up-birmingham-activists-protest-george-floyds-death.html",3,"Kelly Ingram Park, Birmingham","Alabama","AL","Birmingham","Alabama","162","01","000","07000","00000","00000",0,"A","212237",212585,212328,212095,211287,211765,211651,212259,211977,211533,210487,209403
"32",2020-05-28,"Louisville, KY",500,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.courier-journal.com/story/news/2020/05/28/breonna-taylor-shooting-protesters-rally-downtown-louisville/5280279002/",81,"Louisville","Kentucky","KY","Louisville","Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
